OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z,Cluster,Density
COSMOS 2251,1993-036A,2024-10-05T17:43:14.510496,-5872.27655666161,-1555.3713533335613,3773.821643404338,9,-27.72935388331569
COSMOS 2251 DEB,1993-036E,2024-10-05T20:27:36.884736,2874.6358553622413,3647.5672082788255,5449.2968568667475,-1,-27.954472805170766
COSMOS 2251 DEB,1993-036F,2024-10-06T04:01:52.766112,-4209.968541326366,5731.359319033173,-135.16587458598875,-1,-28.686027616789445
COSMOS 2251 DEB,1993-036G,2024-10-06T01:28:48.384768,5049.810266965847,-3867.1913155787242,-2896.860439054548,0,-27.931761838223714
COSMOS 2251 DEB,1993-036H,2024-10-05T22:35:33.508320,7132.489079026581,-711.546127541351,112.99206649297903,-1,-28.188757147983466
COSMOS 2251 DEB,1993-036J,2024-10-05T22:24:44.792928,4491.0697901921785,-556.6243129894855,5517.739098193735,-1,-27.88591984849257
COSMOS 2251 DEB,1993-036K,2024-10-05T17:11:59.847360,6029.311679215584,2930.005918718939,2541.203963153623,1,-27.982048059268436
COSMOS 2251 DEB,1993-036M,2024-10-05T16:29:17.600928,-6922.352834333726,798.0483087060184,-1644.9746320844142,-1,-28.5070321433304
COSMOS 2251 DEB,1993-036N,2024-10-06T03:41:58.613568,2392.384694071439,-3444.703179258539,-5667.921685773629,2,-27.853570808170836
COSMOS 2251 DEB,1993-036P,2024-10-05T20:38:00.706560,2745.829669391982,2704.304354410327,-6029.145394169635,2,-27.7752809433032
COSMOS 2251 DEB,1993-036R,2024-10-05T21:39:55.878912,4758.207919691549,2971.315762558585,-5145.175857426052,-1,-28.503138458429767
COSMOS 2251 DEB,1993-036U,2024-10-06T02:58:10.520832,2088.0252566506815,-711.0601624012457,6705.894621731726,3,-27.439934912507333
COSMOS 2251 DEB,1993-036X,2024-10-05T16:26:27.134592,-6206.498931940742,-507.0173332570369,-3484.162371317326,6,-27.996597423282765
COSMOS 2251 DEB,1993-036Z,2024-10-05T12:48:15.755616,-5000.12391931359,3237.550706481603,3641.354551296909,-1,-28.345139139440384
COSMOS 2251 DEB,1993-036AA,2024-10-05T19:43:16.791168,5474.505652326655,1184.7497927028455,-4307.814681996774,4,-27.959363770594216
COSMOS 2251 DEB,1993-036AE,2024-10-05T23:21:08.697312,-2327.6050518105967,4503.5354101833445,5274.332472208524,-1,-27.799557195721768
COSMOS 2251 DEB,1993-036AG,2024-10-05T21:09:55.218240,2168.098717084768,-236.2861711114565,-6826.687224357295,2,-27.30171157710039
COSMOS 2251 DEB,1993-036AH,2024-10-05T13:10:35.711616,-3004.2848736748147,4849.878124642655,4436.925661773758,5,-27.77792664906992
COSMOS 2251 DEB,1993-036AJ,2024-10-05T21:50:50.312256,-5290.645063202954,-4298.743134955593,2248.7402945133513,15,-27.9528707116624
COSMOS 2251 DEB,1993-036AL,2024-10-06T03:45:34.593696,-1478.5505622502233,1249.5151864287448,-6762.058901711825,6,-27.01772306979558
COSMOS 2251 DEB,1993-036AN,2024-10-05T20:40:28.659648,-2192.146538624389,4354.378362901952,-5094.914177995839,-1,-28.086469537264612
COSMOS 2251 DEB,1993-036AP,2024-10-06T02:40:50.811744,-1796.8038414324783,-3666.8735208290095,5761.447048663925,-1,-28.056669222695362
COSMOS 2251 DEB,1993-036AQ,2024-10-05T20:42:43.723584,-6159.2633472090065,-3005.6998509452005,1610.7010383913578,-1,-27.9057593708239
COSMOS 2251 DEB,1993-036AW,2024-10-05T17:09:17.709984,4478.34801661554,5378.156070604885,-792.1910853256643,-1,-28.603269617887754
COSMOS 2251 DEB,1993-036BC,2024-10-05T20:27:29.880288,2378.374310549304,-6064.984244950975,-2536.029960599395,-1,-28.282130906225355
COSMOS 2251 DEB,1993-036BE,2024-10-05T18:35:14.411904,2073.553997879638,-5655.018940979254,-3422.4161242295645,-1,-28.137131955085643
COSMOS 2251 DEB,1993-036BG,2024-10-05T12:17:30.357888,-2680.3442752268397,4075.4827442823002,5064.541434927292,5,-27.768412011104857
COSMOS 2251 DEB,1993-036BH,2024-10-05T22:36:55.737792,-3887.498248159967,5811.541053666749,2809.098862566308,-1,-28.493837180109935
COSMOS 2251 DEB,1993-036BJ,2024-10-05T19:58:49.418688,-1156.5618483459868,1655.7287995891193,-6621.210534016606,6,-27.015580981909416
COSMOS 2251 DEB,1993-036BK,2024-10-05T11:49:58.592064,2622.867005316332,-4165.641523945884,-5001.948807415969,-1,-28.09078190993388
COSMOS 2251 DEB,1993-036BL,2024-10-05T18:40:08.702400,-515.0530835479326,-6949.2464675994315,-1725.8198226533848,-1,-28.578462981686705
COSMOS 2251 DEB,1993-036BN,2024-10-05T21:14:13.469568,-3097.7969042707855,4254.2305341751,4434.513348632522,5,-27.827217545217195
COSMOS 2251 DEB,1993-036BP,2024-10-05T07:44:39.476832,4585.321987764048,5021.848625063968,2698.5326144963465,7,-27.897703393477656
COSMOS 2251 DEB,1993-036BQ,2024-10-05T20:25:34.296960,4417.827482898171,2060.6687544874535,-5600.891018915102,-1,-28.225655796149006
COSMOS 2251 DEB,1993-036BR,2024-10-06T03:21:12.669408,177.16153280604425,-2511.3356727469536,6381.882093701888,3,-27.478171609075794
COSMOS 2251 DEB,1993-036BS,2024-10-05T21:13:51.286368,5479.63065923327,-3125.868602800804,-3048.5632263000434,-1,-28.0740628045029
COSMOS 2251 DEB,1993-036BT,2024-10-05T21:06:35.254944,5155.253156929103,-4959.031922747091,248.82765269701173,-1,-29.1868977742841
COSMOS 2251 DEB,1993-036BV,2024-10-05T20:21:42.877152,-3606.797048882343,4541.930685468071,4108.10758111754,5,-27.93650614836924
COSMOS 2251 DEB,1993-036BX,2024-10-05T15:04:16.685760,-2428.6046015604948,-1529.8005050276624,-6404.990072495709,6,-27.49268811218314
COSMOS 2251 DEB,1993-036BZ,2024-10-05T11:58:31.923840,-2741.9968960064903,5151.423038778701,4017.653047377726,5,-27.754403673624864
COSMOS 2251 DEB,1993-036CB,2024-10-05T11:50:07.917216,1412.4237745795674,-2028.120021613184,6483.390578934942,3,-27.386147487242198
COSMOS 2251 DEB,1993-036CC,2024-10-05T20:44:52.662624,-6416.267810930671,-2239.84553094841,-1871.872146268198,-1,-28.461286192225238
COSMOS 2251 DEB,1993-036CD,2024-10-05T13:51:10.416960,2764.6080442692128,3057.465765007093,5698.489373652867,-1,-27.728171643328835
COSMOS 2251 DEB,1993-036CE,2024-10-05T22:03:48.658752,-5404.322299883072,4109.901808349178,-2172.9934219605243,-1,-28.386210378947332
COSMOS 2251 DEB,1993-036CF,2024-10-06T03:21:37.207872,-2060.5163287521427,399.3700957093615,-6826.343195088093,6,-27.091788291115762
COSMOS 2251 DEB,1993-036CG,2024-10-05T20:53:26.016864,1357.7314658843525,1387.2683328930725,6783.199967611683,3,-27.32674117015455
COSMOS 2251 DEB,1993-036CJ,2024-10-06T04:38:24.462816,7094.6892481668165,-963.0969902398339,-263.7771852311161,-1,-28.166008949238332
COSMOS 2251 DEB,1993-036CK,2024-10-05T20:20:52.271808,2242.069128592933,-5797.536690712686,-3577.4632897223896,-1,-28.14176147672032
COSMOS 2251 DEB,1993-036CL,2024-10-06T01:52:30.261792,4660.194959519968,4635.352943258899,2116.6457111381824,7,-27.927611672298227
COSMOS 2251 DEB,1993-036CM,2024-10-05T21:17:43.204704,3964.362284238011,-4616.006360737544,-3737.2508058998415,-1,-28.346596368332534
COSMOS 2251 DEB,1993-036CR,2024-10-06T05:06:23.272704,-424.13227817146367,5154.153447418684,4962.879736886339,8,-27.963781944437557
COSMOS 2251 DEB,1993-036CT,2024-10-05T17:11:02.919264,-2368.0600747289236,1208.0542732192011,6465.700683542152,3,-27.639353987210207
COSMOS 2251 DEB,1993-036CV,2024-10-05T18:45:46.141056,-4131.104222811748,2383.774568735136,-5306.11121704674,-1,-27.957224490517213
COSMOS 2251 DEB,1993-036CX,2024-10-05T10:43:05.076192,3906.1246772183476,-4869.159048086334,4639.1830429980955,-1,-28.164210875286777
COSMOS 2251 DEB,1993-036CZ,2024-10-05T20:57:26.654688,5424.178099340544,4697.590986787147,-523.4038616796909,-1,-28.965405922708023
COSMOS 2251 DEB,1993-036DC,2024-10-05T18:54:12.216096,-5969.554542722978,-1746.8490290461218,3308.121909086524,9,-27.644667976962303
COSMOS 2251 DEB,1993-036DD,2024-10-05T21:23:40.625952,2118.0347792218427,-773.2123591933073,-6730.942490548148,2,-27.258972541887324
COSMOS 2251 DEB,1993-036DE,2024-10-05T22:37:26.327712,-4722.845553945407,-1903.5238180264923,-4841.474501890584,-1,-28.113000506839064
COSMOS 2251 DEB,1993-036DJ,2024-10-05T18:45:44.533152,3393.1466006930445,4031.655201590676,4790.895235283439,-1,-27.978669357062003
COSMOS 2251 DEB,1993-036DK,2024-10-05T17:47:54.368736,3470.526217047371,2239.35163838421,-5808.600719824257,2,-27.948416548408765
COSMOS 2251 DEB,1993-036DL,2024-10-04T14:53:15.931392,87.63436664583091,-7034.530845696593,1513.693626403176,-1,-28.364661619167435
COSMOS 2251 DEB,1993-036DM,2024-10-05T22:17:55.550688,3207.868010149133,5793.634771313041,3365.747293167361,-1,-28.219007670861252
COSMOS 2251 DEB,1993-036DQ,2024-10-06T04:30:57.885408,-158.27608306394097,6956.517294906806,1338.7328402490298,10,-28.147329003906336
COSMOS 2251 DEB,1993-036DR,2024-10-05T06:24:30.681792,-76.92821404253114,6014.431525316225,3782.1038443303105,11,-27.8164298695701
COSMOS 2251 DEB,1993-036DS,2024-10-06T01:43:21.305568,-1183.557419049766,-5366.493662756578,-4585.681121810508,-1,-28.505438978070217
COSMOS 2251 DEB,1993-036DT,2024-10-05T19:27:18.179712,2847.4172799844214,2235.323718500289,6622.717719807276,3,-27.47851778685048
COSMOS 2251 DEB,1993-036DU,2024-10-05T19:15:23.873760,2030.6620668177495,-6858.765148679622,-795.5081235490683,12,-28.0681808686766
COSMOS 2251 DEB,1993-036DV,2024-10-05T19:06:36.216000,-3542.750598176923,181.13658173251056,6743.572833180721,3,-27.99203948810611
COSMOS 2251 DEB,1993-036DW,2024-10-05T23:49:57.369504,-1659.505703399735,-1480.6703020380914,7244.449572781031,3,-28.136777311152137
COSMOS 2251 DEB,1993-036DY,2024-10-05T20:42:49.266144,-608.4353740296734,2118.3787517699375,6577.997394270224,3,-27.404802032829963
COSMOS 2251 DEB,1993-036DZ,2024-10-06T00:54:03.547584,-411.7996541950486,2052.830178929151,6774.686859061715,3,-27.40964151857535
COSMOS 2251 DEB,1993-036EB,2024-10-05T23:52:16.215168,-3644.5760317761187,-6021.386459012621,1033.9558444256807,-1,-28.8470122384907
COSMOS 2251 DEB,1993-036ED,2024-10-05T15:51:03.653280,1389.87709127218,5943.905700764401,-4666.080636772319,-1,-28.73030569253558
COSMOS 2251 DEB,1993-036EH,2024-10-05T21:56:00.407904,-5872.004969692807,4105.84438955381,-9.705426718250225,-1,-28.50299606841392
COSMOS 2251 DEB,1993-036EK,2024-10-05T20:54:02.835360,-3648.7769450023056,-3735.189714119519,4660.251668672058,-1,-28.418843444873815
COSMOS 2251 DEB,1993-036EL,2024-10-05T21:18:16.185312,1932.5345403584986,-106.08076552792095,-6610.526299464902,2,-27.32006843526335
COSMOS 2251 DEB,1993-036EM,2024-10-05T17:32:23.899488,-5396.0373123261425,-4074.393766928674,-2252.018550446781,-1,-28.49857211574679
COSMOS 2251 DEB,1993-036EN,2024-10-05T17:07:56.298720,1602.532492659282,1118.5164586215465,-6847.394592432248,2,-27.34573486443636
COSMOS 2251 DEB,1993-036EP,2024-10-05T20:22:52.112928,-6615.203049125253,-2543.296947122984,200.41675998349007,13,-27.951932807249186
COSMOS 2251 DEB,1993-036EQ,2024-10-06T02:00:21.691296,1324.2700931475613,-6748.036216301806,634.2679097735124,-1,-28.168946449877218
COSMOS 2251 DEB,1993-036ER,2024-10-05T20:56:48.086592,3508.3597950341855,-614.813056929322,-6155.445006990272,2,-27.560337502982087
COSMOS 2251 DEB,1993-036ET,2024-10-05T18:52:34.921056,759.5659067939167,2978.631598043304,6407.113994206227,3,-27.42158546213976
COSMOS 2251 DEB,1993-036EU,2024-10-05T21:01:06.382848,-720.7464303195131,1891.430196620525,-6759.5545300699005,6,-27.07607669751556
COSMOS 2251 DEB,1993-036EV,2024-10-05T22:43:18.208992,-1375.7816697109884,1569.5779554056558,-6796.705562279629,6,-27.01065969571755
COSMOS 2251 DEB,1993-036EX,2024-10-05T16:21:04.299264,-5619.714479600968,-275.74169422909955,-4396.717611864857,6,-27.732250031675058
COSMOS 2251 DEB,1993-036EZ,2024-10-05T17:47:42.767808,73.83288561864835,-2074.47274985536,-6777.258840567852,6,-27.411934384645157
COSMOS 2251 DEB,1993-036FA,2024-10-05T17:34:20.214624,-6780.309316929051,-2233.136646967629,-304.44328703672363,13,-28.053056382619665
COSMOS 2251 DEB,1993-036FD,2024-10-05T23:22:00.894144,6291.501042802686,2627.241571152268,2221.3152995450837,1,-28.118288761691637
COSMOS 2251 DEB,1993-036FE,2024-10-05T21:45:07.896960,-6329.703675300546,3041.463952526981,-1249.710879115546,-1,-28.272117414540375
COSMOS 2251 DEB,1993-036FF,2024-10-05T09:48:57.663072,867.1643252312026,7024.2972472233305,-63.34523268275719,-1,-28.31055351573152
COSMOS 2251 DEB,1993-036FG,2024-10-05T20:14:05.690688,-2157.3282318810225,-2198.6296449028473,6386.858701722808,17,-27.790538176442084
COSMOS 2251 DEB,1993-036FJ,2024-10-05T23:52:17.824800,3805.4167852457545,-6289.981276440724,882.3961988921309,-1,-29.142408587601132
COSMOS 2251 DEB,1993-036FP,2024-10-05T20:02:15.968256,5498.970894370736,-3002.3556574984564,3326.1543876648725,14,-28.101249402024415
COSMOS 2251 DEB,1993-036FR,2024-10-05T18:14:22.795584,-536.1513629312637,-4871.04155869092,5154.98461103822,-1,-28.1831077533013
COSMOS 2251 DEB,1993-036FS,2024-10-05T16:21:15.503616,-3755.8536636702174,-3001.9102708466544,-5262.064721781442,18,-28.079792653446468
COSMOS 2251 DEB,1993-036FT,2024-10-06T04:47:50.178048,-1721.482704146132,-1557.4161848132464,6663.512073152444,3,-27.90153034799262
COSMOS 2251 DEB,1993-036FV,2024-10-06T01:31:56.848224,-1714.397295155536,1378.317297007775,6792.017383298901,3,-27.574019813997317
COSMOS 2251 DEB,1993-036FY,2024-10-06T03:59:50.134272,-1356.314990011655,1527.4561441018839,-6605.59975605675,6,-27.001601734025776
COSMOS 2251 DEB,1993-036FZ,2024-10-05T16:56:23.024256,1661.9537414992365,7551.396569734267,671.7746612082824,-1,-28.320752964966537
COSMOS 2251 DEB,1993-036GB,2024-10-05T22:06:08.305344,-842.2700025970778,-6782.755930446488,1949.6930111224196,-1,-28.374486476852184
COSMOS 2251 DEB,1993-036GD,2024-10-05T17:17:55.625280,1915.062926070988,-1340.9348874089453,6728.876781762749,3,-27.448809162249432
COSMOS 2251 DEB,1993-036GE,2024-10-05T19:33:18.714816,2358.1478377289754,-1583.5379970430265,6618.045833544336,3,-27.596915152470324
COSMOS 2251 DEB,1993-036GJ,2024-10-05T09:04:40.568448,6441.309404020276,1141.274156761674,2499.027987449424,22,-28.28658643303593
COSMOS 2251 DEB,1993-036GK,2024-10-05T13:31:36.194304,3528.8498429439423,2882.7932146561116,5080.690222153087,-1,-27.768329493079328
COSMOS 2251 DEB,1993-036GL,2024-10-05T15:23:40.328736,2890.9832950416717,1592.6358758629644,6342.82676976988,3,-27.267201580064956
COSMOS 2251 DEB,1993-036GN,2024-10-05T11:22:45.532704,-2991.9172680383767,6221.411405919636,-2093.5913612252184,-1,-28.89793158542728
COSMOS 2251 DEB,1993-036GP,2024-10-05T20:37:32.903040,1739.9296409374374,-1098.0023064737977,-6840.129415127848,2,-27.279114590670005
COSMOS 2251 DEB,1993-036GQ,2024-10-06T02:28:15.775104,-754.5816503503818,5450.5569981353665,4520.5341234127,8,-27.90038068634486
COSMOS 2251 DEB,1993-036GR,2024-10-06T01:34:36.912000,1729.305262722026,-4598.41269736415,5045.987154272662,24,-27.719791132621125
COSMOS 2251 DEB,1993-036GS,2024-10-05T19:51:49.049856,-975.8239190540461,-4961.395425950511,4987.95007700953,-1,-28.28441488465461
COSMOS 2251 DEB,1993-036GT,2024-10-05T17:34:04.634976,3372.544351369646,449.1373205447965,-6325.083544638749,2,-27.510872659772197
COSMOS 2251 DEB,1993-036GU,2024-10-05T19:09:11.082816,1524.9991314463944,-1253.5670874272735,-6876.398723573462,2,-27.300192755575132
COSMOS 2251 DEB,1993-036GV,2024-10-05T17:38:33.835776,2406.4875354957176,5189.811102350001,-4055.2131202921432,-1,-28.6118462027854
COSMOS 2251 DEB,1993-036GW,2024-10-05T10:32:42.548640,1619.6883233837561,-1124.6024043860655,-6848.058592509267,2,-27.29158168786492
COSMOS 2251 DEB,1993-036GZ,2024-10-05T19:04:00.431616,-1229.443592368245,1512.6879249646192,6803.523219769476,3,-27.545059306464644
COSMOS 2251 DEB,1993-036HA,2024-10-05T12:29:55.246848,872.6267225473533,-4386.62097994731,5485.8641299113215,3,-27.696172360731765
COSMOS 2251 DEB,1993-036HD,2024-10-05T23:33:20.297088,264.2074444212748,5214.286176099748,-5181.671284526032,-1,-28.35217189592509
COSMOS 2251 DEB,1993-036HE,2024-10-05T16:41:04.119648,-2869.4260753289664,979.3009620134729,6444.649378038148,3,-27.730457708858644
COSMOS 2251 DEB,1993-036HG,2024-10-06T02:54:31.705920,-4895.102670350356,-4776.446162448067,1956.8759400000008,15,-28.050854667731286
COSMOS 2251 DEB,1993-036HH,2024-10-05T14:51:53.548992,-6938.0501001297425,1634.8839732726494,-221.18261316127519,-1,-28.782662269070507
COSMOS 2251 DEB,1993-036HJ,2024-10-05T22:04:30.574848,-2465.9386778247895,3316.722837228119,5806.918761293544,16,-27.667274210345944
COSMOS 2251 DEB,1993-036HK,2024-10-05T18:35:44.601792,186.74520188883739,2278.877289956051,6777.491382074367,3,-27.34134386971781
