garbage_index,satellite_index,distance
0,0,11647.164686670883
0,1,5500.349413771996
0,2,7621.812136091731
0,3,8023.455591255948
0,4,10142.889966770199
0,5,11312.970802602185
0,6,9327.316867150581
0,7,10990.683715269854
0,8,12260.00597327885
0,9,12920.235983589946
0,10,12929.769073088728
0,11,12296.35683518559
0,12,11102.980112092755
0,13,11066.55206710404
0,14,9372.42174888822
0,15,7431.568038478856
0,16,5663.591362108475
0,17,4869.564215606923
0,18,5654.0392246921365
0,19,5720.304167175488
0,20,5521.658930382508
0,21,5864.52970863357
0,22,5429.858915345311
0,23,5343.233827548532
0,24,5165.451749526517
0,25,5188.420907700123
0,26,5262.870083004702
0,27,2639.435823602088
0,28,13868.91286710418
0,29,9254.139831985762
0,30,9299.9620114065
0,31,2025.4180760717059
0,32,11595.47269470993
0,33,10942.276363604562
0,34,9729.46023056246
0,35,8828.374209798676
0,36,8095.767204473809
0,37,7332.450675092465
0,38,5148.524242243055
0,39,5221.907099457353
0,40,6417.814953396327
0,41,7144.070957308822
0,42,11160.678354589672
0,43,10297.723518785911
0,44,8227.639882743186
0,45,5989.784220540223
0,46,4224.991744823964
0,47,4219.53079370849
0,48,8230.288504561595
0,49,10287.029188342585
0,50,5995.613011617144
0,51,11808.081070325561
0,52,12770.320411531358
0,53,13230.157141931619
0,54,13271.390611068951
0,55,13000.85550036041
0,56,11536.431732001318
0,57,11744.963453827815
0,58,11641.428765017421
0,59,11842.724019602023
0,60,11939.14894125001
0,61,12032.788416160554
0,62,12123.46669978719
0,63,7426.00765655272
0,64,7497.977705744449
0,65,7605.949199653937
0,66,8077.510732617575
0,67,8381.840802082132
0,68,7569.228451432862
0,69,10605.869329674331
0,70,10789.553746088297
0,71,10730.328507586275
0,72,10781.329237858896
0,73,10550.768638459602
0,74,10835.470852105034
0,75,10957.211574071413
0,76,10994.233560943432
0,77,10949.889147249696
0,78,9472.792978650214
0,79,12369.7862884725
0,80,12502.409956695492
0,81,13015.833533095967
0,82,12753.478426014839
0,83,12682.837435125548
0,84,11758.445959365954
0,85,10030.810850570857
0,86,6291.925951015852
0,87,8124.793682247618
0,88,4744.171336457028
0,89,3748.0630867966347
0,90,3450.515781700085
0,91,3790.915688027098
0,92,4545.35338979595
0,93,5462.646321557847
0,94,6428.277318689296
0,95,7369.482932897407
0,96,8116.377272414203
0,97,6621.629979980611
0,98,6359.615381339892
0,99,7988.05704810818
0,100,6991.860106421134
0,101,7168.484611169034
0,102,7799.652485470703
0,103,7491.28966288894
0,104,7155.624865895624
0,105,13086.532398664742
0,106,4971.27840465271
0,107,5576.626764006775
0,108,11647.164686670883
0,109,5062.325007729699
1,0,6154.745153299697
1,1,13024.977795057444
1,2,12090.67367376224
1,3,11861.419067561203
1,4,10288.341990940591
1,5,9061.841701605603
1,6,9499.438940293434
1,7,8032.433379734787
1,8,6707.711669688901
1,9,6131.933448707149
1,10,6609.72696348295
1,11,7860.368845773407
1,12,9338.173414252266
1,13,9398.76656710262
1,14,10776.459997201073
1,15,11804.28263512053
1,16,12356.168744799552
1,17,12373.89633308961
1,18,11857.957536564169
1,19,12431.82155885574
1,20,12469.239006742655
1,21,12408.739051776338
1,22,12483.72578949532
1,23,12496.277271704363
1,24,12518.145650492606
1,25,12512.560633151708
1,26,12505.681802474714
1,27,13388.646325766786
1,28,2790.123116868614
1,29,11182.358951961569
1,30,11159.630380843502
1,31,13522.923959505531
1,32,8679.726174491168
1,33,9879.100076967487
1,34,11286.820161720938
1,35,11957.754091776036
1,36,12306.76071831464
1,37,12114.435548069692
1,38,13641.01668666978
1,39,13623.894329306311
1,40,13267.848934573956
1,41,12986.525088164411
1,42,8055.8170737525925
1,43,8522.83605000125
1,44,10749.691779461147
1,45,12412.03863242819
1,46,13391.679395705376
1,47,13620.066567719168
1,48,11811.989044101725
1,49,9913.38070875291
1,50,13076.993144710537
1,51,7702.4516426855935
1,52,5438.082643604764
1,53,3447.6098719382544
1,54,2481.4925494098516
1,55,3179.5920779539188
1,56,8272.234815977547
1,57,7917.623650787822
1,58,8097.1990169099145
1,59,7742.540065008292
1,60,7562.577471911858
1,61,7381.373038343938
1,62,7198.992028228982
1,63,11957.589560080596
1,64,11841.346082617749
1,65,11683.427566660404
1,66,11078.847414851942
1,67,10712.74521656262
1,68,11701.251948321886
1,69,7892.194810014247
1,70,7811.090667548893
1,71,7828.816097065003
1,72,7812.7529573244055
1,73,7930.802291974413
1,74,7804.060479650367
1,75,7828.857512609888
1,76,7853.981950969376
1,77,9409.400829446697
1,78,11453.807082138741
1,79,5740.89737832531
1,80,5569.174931545866
1,81,5015.629291016683
1,82,5264.383859963683
1,83,5345.986620513732
1,84,8626.48683865855
1,85,10719.79633586835
1,86,13025.185823845939
1,87,12159.004511867633
1,88,13441.970111573452
1,89,13526.6835454736
1,90,13405.747366923935
1,91,13107.171725790171
1,92,12678.059762020264
1,93,12145.079586929383
1,94,11518.929439971114
1,95,10823.739050106897
1,96,10200.693441528874
1,97,11393.380761523627
1,98,11575.444931575614
1,99,10325.750444526511
1,100,11124.484299909398
1,101,10991.063574038102
1,102,10485.983295382051
1,103,10738.488742904292
1,104,12419.613623814756
1,105,6339.320780355191
1,106,13444.450403421204
1,107,12244.07158681749
1,108,6154.745153299697
1,109,12509.284822736197
2,0,9052.130294689434
2,1,11497.774680972756
2,2,9940.655904001067
2,3,9591.845172093306
2,4,7373.578127756734
2,5,5772.3042374199895
2,6,9485.702747976951
2,7,7040.485962304419
2,8,4267.649933384109
2,9,2325.255298583478
2,10,3684.6081482146883
2,11,6381.448388461904
2,12,8931.817643447464
2,13,9022.370862879538
2,14,11171.344330537506
2,15,12713.055057877724
2,16,13544.287451677174
2,17,13612.222622699472
2,18,12915.526698190402
2,19,13584.375543378783
2,20,13646.849686859005
2,21,13543.118219437236
2,22,13672.226861916539
