OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BC,2024-10-05T20:27:29.880288,14.8425430600,0.0046204000,73.8450000000,106.7218000000,280.0598000000,199.1903000000,0,U,33811,999,83547,0.0044629000,0.0003827900,0E-10
COSMOS 2251 DEB,1993-036BE,2024-10-05T18:35:14.411904,15.0168488900,0.0052596000,74.0344000000,102.7503000000,274.7319000000,96.0190000000,0,U,33813,999,83966,0.0049337000,0.0006663300,0E-10
COSMOS 2251 DEB,1993-036BG,2024-10-05T12:17:30.357888,14.6478047700,0.0028528000,73.9757000000,323.0700000000,148.1801000000,328.6345000000,0,U,33815,999,81936,0.0106640000,0.0005767000,0E-10
COSMOS 2251 DEB,1993-036BH,2024-10-05T22:36:55.737792,13.8055295100,0.0269772000,73.8946000000,118.4700000000,212.9639000000,145.4416000000,0,U,33816,999,78703,0.0028435000,0.0000390000,0E-10
COSMOS 2251 DEB,1993-036BJ,2024-10-05T19:58:49.418688,15.1040778800,0.0015058000,74.0446000000,196.5255000000,26.3437000000,333.8518000000,0,U,33817,999,83723,0.0096191000,0.0016206800,0E-10
COSMOS 2251 DEB,1993-036BK,2024-10-05T11:49:58.592064,14.8327646300,0.0048163000,74.0896000000,321.5132000000,71.1349000000,43.1033000000,0,U,33818,999,83375,0.0041126000,0.0003448100,0E-10
COSMOS 2251 DEB,1993-036BL,2024-10-05T18:40:08.702400,14.2932555500,0.0095747000,74.1796000000,271.5271000000,254.9723000000,159.0863000000,0,U,33819,999,81302,0.0038896000,0.0001039500,0E-10
COSMOS 2251 DEB,1993-036BN,2024-10-05T21:14:13.469568,15.0216798300,0.0084167000,74.0450000000,321.7619000000,114.5450000000,57.5267000000,0,U,33821,999,68450,0.0025878000,0.0003693200,0E-10
COSMOS 2251 DEB,1993-036BP,2024-10-05T07:44:39.476832,14.0877876800,0.0162198000,74.0772000000,236.5960000000,29.5869000000,119.4285000000,0,U,33822,999,79939,0.0119360000,0.0002328600,0E-10
COSMOS 2251 DEB,1993-036BQ,2024-10-05T20:25:34.296960,13.9723604800,0.0212291000,73.8126000000,187.0708000000,26.5618000000,35.3718000000,0,U,33823,999,79559,0.0047969000,0.0000811300,0E-10
COSMOS 2251 DEB,1993-036BR,2024-10-06T03:21:12.669408,15.1877608900,0.0028191000,74.0007000000,228.6375000000,83.7307000000,287.6446000000,0,U,33824,999,83513,0.0122010000,0.0026560300,0E-10
COSMOS 2251 DEB,1993-036BS,2024-10-05T21:13:51.286368,14.5985755600,0.0100295000,73.9886000000,143.9653000000,215.3786000000,155.6525000000,0,U,33825,999,82538,0.0048562000,0.0002498800,0E-10
COSMOS 2251 DEB,1993-036BT,2024-10-05T21:06:35.254944,14.4274963500,0.0095111000,74.0650000000,138.2825000000,294.3421000000,75.2439000000,0,U,33826,999,81506,0.0081837000,0.0002888300,0E-10
COSMOS 2251 DEB,1993-036BV,2024-10-05T20:21:42.877152,14.4193912500,0.0028182000,74.0485000000,321.8004000000,145.8377000000,28.7876000000,0,U,33828,999,82067,0.0020862000,0.0000684900,0E-10
COSMOS 2251 DEB,1993-036BX,2024-10-05T15:04:16.685760,14.6876213000,0.0048316000,74.0388000000,354.6739000000,230.2622000000,241.1669000000,0,U,33830,999,83093,0.0042150000,0.0002507900,0E-10
COSMOS 2251 DEB,1993-036BZ,2024-10-05T11:58:31.923840,14.5181676800,0.0026555000,74.0572000000,311.7165000000,88.7404000000,28.9575000000,0,U,33832,999,82115,0.0043225000,0.0001749300,0E-10
