OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BP,2024-10-05T07:44:39.476832,14.08778768,0.0162198,74.0772,236.596,29.5869,119.4285,0,U,33822,999,79939,0.011936,0.00023286,0
COSMOS 2251 DEB,1993-036BQ,2024-10-05T20:25:34.296960,13.97236048,0.0212291,73.8126,187.0708,26.5618,35.3718,0,U,33823,999,79559,0.0047969,8.113e-05,0
COSMOS 2251 DEB,1993-036BR,2024-10-06T03:21:12.669408,15.18776089,0.0028191,74.0007,228.6375,83.7307,287.6446,0,U,33824,999,83513,0.012201,0.00265603,0
COSMOS 2251 DEB,1993-036BS,2024-10-05T21:13:51.286368,14.59857556,0.0100295,73.9886,143.9653,215.3786,155.6525,0,U,33825,999,82538,0.0048562,0.00024988,0
COSMOS 2251 DEB,1993-036BT,2024-10-05T21:06:35.254944,14.42749635,0.0095111,74.065,138.2825,294.3421,75.2439,0,U,33826,999,81506,0.0081837,0.00028883,0
COSMOS 2251 DEB,1993-036BV,2024-10-05T20:21:42.877152,14.41939125,0.0028182,74.0485,321.8004,145.8377,28.7876,0,U,33828,999,82067,0.0020862,6.849e-05,0
COSMOS 2251 DEB,1993-036BX,2024-10-05T15:04:16.685760,14.6876213,0.0048316,74.0388,354.6739,230.2622,241.1669,0,U,33830,999,83093,0.004215,0.00025079,0
COSMOS 2251 DEB,1993-036BZ,2024-10-05T11:58:31.923840,14.51816768,0.0026555,74.0572,311.7165,88.7404,28.9575,0,U,33832,999,82115,0.0043225,0.00017493,0
COSMOS 2251 DEB,1993-036CB,2024-10-05T11:50:07.917216,15.03655594,0.0026359,74.0602,175.9753,333.2855,200.1471,0,U,33834,999,83791,0.0065677,0.00091749,0
COSMOS 2251 DEB,1993-036CC,2024-10-05T20:44:52.662624,14.55656401,0.0062216,74.0618,205.4219,9.1716,46.8596,0,U,33835,999,82474,0.00623,0.00028016,0
COSMOS 2251 DEB,1993-036CD,2024-10-05T13:51:10.416960,14.68231509,0.0031122,74.0042,26.7759,346.0896,24.9729,0,U,33836,999,57704,0.0051704,0.00030112,0
COSMOS 2251 DEB,1993-036CE,2024-10-05T22:03:48.658752,14.49016533,0.0034605,74.0132,149.5602,117.9454,242.5215,0,U,33837,999,82522,0.0014379,5.473e-05,0
COSMOS 2251 DEB,1993-036CF,2024-10-06T03:21:37.207872,14.46070792,0.0025999,74.0388,238.7231,108.5205,263.3728,0,U,33838,999,82332,0.0027251,9.75e-05,0
COSMOS 2251 DEB,1993-036CG,2024-10-05T20:53:26.016864,14.62270414,0.008696,74.0409,317.0099,181.4909,351.6456,0,U,33839,999,83247,0.0012528,6.646e-05,0
COSMOS 2251 DEB,1993-036CJ,2024-10-06T04:38:24.462816,14.36815866,0.0020602,74.0412,353.8854,187.3797,202.1133,0,U,33841,999,81947,0.0011357,3.338e-05,0
COSMOS 2251 DEB,1993-036CK,2024-10-05T20:20:52.271808,14.4103547,0.0046907,74.0336,302.2856,158.4138,201.9009,0,U,33842,999,82097,0.0015699,5.094e-05,0
COSMOS 2251 DEB,1993-036CL,2024-10-06T01:52:30.261792,15.09488537,0.0085266,73.9662,40.9127,299.4816,59.7889,0,U,33843,999,82833,0.010297,0.00183949,0
COSMOS 2251 DEB,1993-036CM,2024-10-05T21:17:43.204704,14.31912083,0.005058,74.066,122.1104,253.3292,224.2902,0,U,33844,999,81525,0.0019307,5.223e-05,0
COSMOS 2251 DEB,1993-036CR,2024-10-06T05:06:23.272704,14.39035834,0.0046787,74.0331,79.7373,244.2474,289.5577,0,U,33848,999,81647,0.0049244,0.00015414,0
COSMOS 2251 DEB,1993-036CT,2024-10-05T17:11:02.919264,14.87986189,0.0024102,74.0084,19.2525,271.1241,88.7178,0,U,33890,999,82941,0.010472,0.00097944,0
COSMOS 2251 DEB,1993-036CV,2024-10-05T18:45:46.141056,14.20898325,0.0119157,73.8051,170.6249,278.1805,149.1276,0,U,33892,999,80799,0.0031818,7.375e-05,0
COSMOS 2251 DEB,1993-036CX,2024-10-05T10:43:05.076192,13.18892695,0.0585684,73.7644,298.2301,278.9763,74.5507,0,U,33894,999,74989,0.0077253,7.464e-05,0
COSMOS 2251 DEB,1993-036CZ,2024-10-05T20:57:26.654688,14.16612036,0.0128436,73.77,221.2508,109.8457,312.6742,0,U,33896,999,80604,0.0036031,7.774e-05,0
